iter	Passed	Remaining
0	138	138231
1	139	69437
2	139	46507
3	140	35003
4	141	28107
5	141	23508
6	142	20278
7	143	17826
8	144	15900
9	145	14370
10	145	13116
11	146	12066
12	147	11178
13	147	10417
14	148	9764
15	149	9186
16	150	8680
17	150	8228
18	151	7822
19	152	7454
20	152	7121
21	153	6820
22	154	6561
23	155	6316
24	156	6088
25	156	5873
26	157	5673
27	158	5487
28	158	5314
29	159	5151
30	160	5001
31	160	4865
32	161	4735
33	162	4609
34	162	4491
35	163	4382
36	164	4274
37	164	4172
38	165	4074
39	165	3982
40	166	3902
41	167	3822
42	168	3744
43	168	3671
44	169	3598
45	170	3529
46	170	3462
47	171	3397
48	172	3340
49	172	3283
50	173	3229
51	174	3176
52	174	3124
53	175	3075
54	176	3027
55	176	2979
56	177	2934
57	178	2893
58	178	2853
59	179	2813
60	180	2774
61	180	2737
62	181	2700
63	182	2664
64	182	2629
65	183	2595
66	183	2561
67	184	2531
68	185	2502
69	186	2472
70	186	2443
71	187	2415
72	188	2388
73	188	2361
74	189	2334
75	189	2309
76	191	2291
77	191	2267
78	192	2243
79	193	2221
80	194	2201
81	194	2179
82	194	2154
83	195	2132
84	196	2110
85	196	2091
86	197	2072
87	198	2053
88	198	2033
89	199	2015
90	199	1997
91	200	1980
92	201	1962
93	201	1944
94	202	1926
95	202	1911
96	203	1895
97	204	1880
98	205	1866
99	205	1852
100	206	1837
101	207	1822
102	207	1808
103	208	1794
104	208	1781
105	209	1767
106	210	1755
107	210	1741
108	211	1729
109	212	1718
110	212	1705
111	213	1693
112	214	1681
113	214	1669
114	215	1659
115	216	1648
116	216	1635
117	217	1625
118	218	1615
119	218	1604
120	219	1593
121	219	1582
122	220	1571
123	221	1561
124	221	1552
125	222	1543
126	222	1532
127	223	1523
128	224	1514
129	224	1505
130	225	1495
131	226	1486
132	226	1477
133	227	1467
134	227	1459
135	228	1451
136	229	1443
137	229	1435
138	230	1427
139	231	1419
140	231	1411
141	232	1401
142	232	1394
143	233	1387
144	234	1382
145	235	1376
146	236	1369
147	236	1363
148	237	1356
149	238	1350
150	239	1344
151	239	1338
152	240	1332
153	241	1327
154	242	1321
155	243	1315
156	243	1309
157	244	1302
158	245	1296
159	245	1290
160	246	1283
161	247	1278
162	247	1273
163	248	1267
164	249	1262
165	250	1256
166	250	1251
167	251	1245
168	252	1240
169	253	1235
170	253	1230
171	254	1225
172	255	1219
173	255	1214
174	256	1209
175	257	1204
176	257	1199
177	258	1194
178	259	1189
179	260	1185
180	261	1181
181	261	1176
182	262	1171
183	262	1166
184	263	1161
185	264	1157
186	265	1152
187	265	1147
188	266	1143
189	267	1138
190	267	1133
191	268	1129
192	269	1124
193	269	1120
194	270	1116
195	271	1112
196	271	1108
197	272	1103
198	273	1099
199	273	1095
200	274	1090
201	275	1086
202	275	1082
203	276	1079
204	277	1076
205	278	1072
206	278	1068
207	279	1064
208	280	1060
209	280	1056
210	281	1052
211	282	1048
212	282	1044
213	283	1041
214	284	1037
215	284	1034
216	285	1030
217	286	1027
218	286	1023
219	287	1019
220	288	1016
221	289	1012
222	289	1010
223	290	1006
224	291	1003
225	292	1000
226	292	996
227	293	992
228	293	989
229	294	986
230	295	982
231	296	979
232	296	976
233	297	973
234	298	970
235	298	967
236	299	964
237	300	960
238	300	957
239	301	954
240	302	951
241	302	948
242	303	945
243	304	942
244	305	940
245	305	937
246	306	934
247	307	930
248	307	928
249	308	925
250	309	922
251	309	920
252	310	917
253	311	914
254	312	911
255	312	908
256	313	905
257	313	902
258	314	900
259	315	898
260	316	895
261	317	892
262	317	890
263	318	887
264	318	884
265	319	881
266	320	879
267	320	876
268	321	873
269	322	872
270	323	870
271	324	867
272	325	865
273	325	863
274	326	860
275	327	858
276	328	856
277	328	854
